assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49223
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49224
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49225
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49226
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49227
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49228
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49229
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49230
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49231
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49232
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49233
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49234
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49235
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49236
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49237
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49238
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49239
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49240
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49241
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49242
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49243
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49244
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49245
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49246
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49247
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49248
a984,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.005994842503189409,7690000.0,p49249
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49250
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49251
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49252
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49253
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49254
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49255
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49256
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49257
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49258
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49259
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49260
a985,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.016681005372000592,7690000.0,p49261
