assay,rep,monosome_fitness,monosome_rate,revert_rate,n_gen,pop_id
a1011,11,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36407
a1011,12,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36408
a1011,13,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36409
a1011,14,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36410
a1011,15,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36411
a1011,16,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36412
a1011,17,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36413
a1011,18,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36414
a1011,19,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36415
a1011,20,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36416
a1011,21,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36417
a1011,22,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36418
a1011,23,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36419
a1011,24,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36420
a1011,25,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36421
a1011,26,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36422
a1011,27,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36423
a1011,28,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36424
a1011,29,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36425
a1011,30,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36426
a1011,31,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36427
a1011,32,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36428
a1011,33,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36429
a1011,34,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36430
a1011,35,0.001,2.1544346900318822e-07,4.641588833612782e-07,25,p36431
a1012,0,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36432
a1012,1,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36433
a1012,2,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36434
a1012,3,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36435
a1012,4,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36436
a1012,5,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36437
a1012,6,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36438
a1012,7,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36439
a1012,8,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36440
a1012,9,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36441
a1012,10,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36442
a1012,11,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36443
a1012,12,0.001,2.1544346900318822e-07,2.1544346900318822e-06,25,p36444
